department,year,base,unit,count
グラフィック工学科,1962,公立,学級,0
グラフィック工学科,1962,私立,学科,0
グラフィック工学科,1962,私立,学級,0
グラフィック工学科,1962,計,学科,0
グラフィック工学科,1962,計,学級,0
ビジュアル情報工学科,1962,国立,学科,0
ビジュアル情報工学科,1962,国立,学級,0
ビジュアル情報工学科,1962,公立,学科,0
ビジュアル情報工学科,1962,公立,学級,0
ビジュアル情報工学科,1962,私立,学科,0
ビジュアル情報工学科,1962,私立,学級,0
ビジュアル情報工学科,1962,計,学科,0
ビジュアル情報工学科,1962,計,学級,0
工業意匠学科,1962,国立,学科,0
工業意匠学科,1962,国立,学級,0
工業意匠学科,1962,公立,学科,0
工業意匠学科,1962,公立,学級,0
工業意匠学科,1962,私立,学科,0
工業意匠学科,1962,私立,学級,0
工業意匠学科,1962,計,学科,0
工業意匠学科,1962,計,学級,0
工業デザイン学科,1962,国立,学科,0
工業デザイン学科,1962,国立,学級,0
工業デザイン学科,1962,公立,学科,0
工業デザイン学科,1962,公立,学級,0
工業デザイン学科,1962,私立,学科,0
工業デザイン学科,1962,私立,学級,0
工業デザイン学科,1962,計,学科,0
工業デザイン学科,1962,計,学級,0
デザイン工学科,1962,国立,学科,0
デザイン工学科,1962,国立,学級,0
デザイン工学科,1962,公立,学科,0
デザイン工学科,1962,公立,学級,0
デザイン工学科,1962,私立,学科,0
デザイン工学科,1962,私立,学級,0
デザイン工学科,1962,計,学科,0
デザイン工学科,1962,計,学級,0
デザイン学科,1962,国立,学科,0
デザイン学科,1962,国立,学級,0
デザイン学科,1962,公立,学科,0
デザイン学科,1962,公立,学級,0
デザイン学科,1962,私立,学科,0
デザイン学科,1962,私立,学級,0
デザイン学科,1962,計,学科,0
デザイン学科,1962,計,学級,0
インダストリアルデザイン工学科,1962,国立,学科,0
インダストリアルデザイン工学科,1962,国立,学級,0
インダストリアルデザイン工学科,1962,公立,学科,0
インダストリアルデザイン工学科,1962,公立,学級,0
インダストリアルデザイン工学科,1962,私立,学科,0
インダストリアルデザイン工学科,1962,私立,学級,0
インダストリアルデザイン工学科,1962,計,学科,0
インダストリアルデザイン工学科,1962,計,学級,0
総合工学システム学科,1962,国立,学科,0
総合工学システム学科,1962,国立,学級,0
総合工学システム学科,1962,公立,学科,0
総合工学システム学科,1962,公立,学級,0
総合工学システム学科,1962,私立,学科,0
総合工学システム学科,1962,私立,学級,0
総合工学システム学科,1962,計,学科,0
総合工学システム学科,1962,計,学級,0
総合システム工学科,1962,国立,学科,0
